key,Current_status,Created,historyid,Status_Date,Step_Status,Tostep_Status,Issue_type
RTICSD-257,Concluído,2020-06-19T15:31:53.378-0300,3595776,2020-06-19T16:37:23.256-0300,QA,Done,Add New Stores to Integrations CPG
RTICSD-256,Concluído,2020-06-19T15:14:21.232-0300,3595041,2020-06-19T15:32:45.006-0300,Backlog,In Progress,Add New Stores to Integrations CPG
RTICSD-256,Concluído,2020-06-19T15:14:21.232-0300,3595253,2020-06-19T15:50:25.042-0300,In Progress,Waiting for response,Add New Stores to Integrations CPG
RTICSD-256,Concluído,2020-06-19T15:14:21.232-0300,3636357,2020-06-24T20:13:23.580-0300,Waiting for response,QA,Add New Stores to Integrations CPG
RTICSD-256,Concluído,2020-06-19T15:14:21.232-0300,3636358,2020-06-24T20:13:25.685-0300,QA,Done,Add New Stores to Integrations CPG
RTICSD-255,Concluído,2020-06-19T13:02:35.964-0300,3595544,2020-06-19T16:17:35.512-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-255,Concluído,2020-06-19T13:02:35.964-0300,3595546,2020-06-19T16:17:41.297-0300,In Progress,Developers Analysis,Report an Integration Problem - Integrations CPG
RTICSD-255,Concluído,2020-06-19T13:02:35.964-0300,3604485,2020-06-22T12:47:24.951-0300,Developers Analysis,QA,Report an Integration Problem - Integrations CPG
RTICSD-255,Concluído,2020-06-19T13:02:35.964-0300,3612700,2020-06-23T11:46:30.484-0300,QA,Done,Report an Integration Problem - Integrations CPG
RTICSD-254,Concluído,2020-06-19T11:57:05.279-0300,3600835,2020-06-19T20:43:00.490-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-254,Concluído,2020-06-19T11:57:05.279-0300,3608868,2020-06-22T19:00:04.823-0300,In Progress,Done,Report an Integration Problem - Integrations CPG
RTICSD-253,Concluído,2020-06-19T10:15:23.226-0300,3590754,2020-06-19T10:16:11.730-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-253,Concluído,2020-06-19T10:15:23.226-0300,3590806,2020-06-19T10:21:38.388-0300,In Progress,Waiting for response,Report an Integration Problem - Integrations CPG
RTICSD-253,Concluído,2020-06-19T10:15:23.226-0300,3590984,2020-06-19T10:47:15.369-0300,Waiting for response,QA,Report an Integration Problem - Integrations CPG
RTICSD-253,Concluído,2020-06-19T10:15:23.226-0300,3592359,2020-06-19T12:24:56.315-0300,QA,Done,Report an Integration Problem - Integrations CPG
RTICSD-252,Concluído,2020-06-18T22:29:04.173-0300,3589178,2020-06-18T22:31:01.756-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-252,Concluído,2020-06-18T22:29:04.173-0300,3589183,2020-06-18T22:31:56.464-0300,In Progress,Waiting for response,Report an Integration Problem - Integrations CPG
RTICSD-252,Concluído,2020-06-18T22:29:04.173-0300,3654987,2020-06-26T12:47:28.032-0300,Waiting for response,QA,Report an Integration Problem - Integrations CPG
RTICSD-252,Concluído,2020-06-18T22:29:04.173-0300,3654988,2020-06-26T12:47:29.925-0300,QA,Done,Report an Integration Problem - Integrations CPG
RTICSD-251,Concluído,2020-06-18T22:21:05.177-0300,3589129,2020-06-18T22:24:23.928-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-251,Concluído,2020-06-18T22:21:05.177-0300,3589173,2020-06-18T22:29:35.845-0300,In Progress,Waiting for response,Report an Integration Problem - Integrations CPG
RTICSD-251,Concluído,2020-06-18T22:21:05.177-0300,3654991,2020-06-26T12:47:55.460-0300,Waiting for response,QA,Report an Integration Problem - Integrations CPG
RTICSD-251,Concluído,2020-06-18T22:21:05.177-0300,3654993,2020-06-26T12:47:57.999-0300,QA,Done,Report an Integration Problem - Integrations CPG
RTICSD-249,Concluído,2020-06-18T16:22:07.968-0300,3587384,2020-06-18T19:51:40.210-0300,Backlog,In Progress,Add New Stores to Integrations CPG
RTICSD-249,Concluído,2020-06-18T16:22:07.968-0300,3587388,2020-06-18T19:51:42.891-0300,In Progress,Done,Add New Stores to Integrations CPG
RTICSD-248,Concluído,2020-06-18T16:13:43.431-0300,3584862,2020-06-18T17:27:35.079-0300,Backlog,In Progress,Add New Stores to Integrations CPG
RTICSD-248,Concluído,2020-06-18T16:13:43.431-0300,3585835,2020-06-18T18:35:39.317-0300,In Progress,Developers Analysis,Add New Stores to Integrations CPG
RTICSD-248,Concluído,2020-06-18T16:13:43.431-0300,3593125,2020-06-19T13:08:10.305-0300,Developers Analysis,QA,Add New Stores to Integrations CPG
RTICSD-248,Concluído,2020-06-18T16:13:43.431-0300,3594383,2020-06-19T14:48:47.044-0300,QA,Done,Add New Stores to Integrations CPG
RTICSD-247,Concluído,2020-06-18T16:00:29.804-0300,3587896,2020-06-18T20:25:34.811-0300,Backlog,In Progress,Ask a question
RTICSD-247,Concluído,2020-06-18T16:00:29.804-0300,3587897,2020-06-18T20:25:37.126-0300,In Progress,Done,Ask a question
RTICSD-246,Concluído,2020-06-18T15:17:08.420-0300,3593324,2020-06-19T13:20:32.999-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-246,Concluído,2020-06-18T15:17:08.420-0300,3595318,2020-06-19T15:56:41.944-0300,In Progress,Developers Analysis,Report an Integration Problem - Integrations CPG
RTICSD-246,Concluído,2020-06-18T15:17:08.420-0300,3596333,2020-06-19T17:09:59.594-0300,Developers Analysis,QA,Report an Integration Problem - Integrations CPG
RTICSD-246,Concluído,2020-06-18T15:17:08.420-0300,3596335,2020-06-19T17:10:02.605-0300,QA,Done,Report an Integration Problem - Integrations CPG
RTICSD-245,Concluído,2020-06-18T15:15:53.780-0300,3591212,2020-06-19T11:13:24.540-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-245,Concluído,2020-06-18T15:15:53.780-0300,3593203,2020-06-19T13:13:04.426-0300,In Progress,Developers Analysis,Report an Integration Problem - Integrations CPG
RTICSD-245,Concluído,2020-06-18T15:15:53.780-0300,3596307,2020-06-19T17:08:53.705-0300,Developers Analysis,QA,Report an Integration Problem - Integrations CPG
